Order_ID,Customer_ID,Customer_Name,Order_Date,Region,State,City,Product_Category,Product_Name,Quantity_Sold,Unit_Price,Discount_Pct,Sales_Amount,Cost_Amount,Profit_Amount,Profit_Margin_Pct,Payment_Method,Shipping_Mode,Delivery_Status,Customer_Segment
ORD-1138,C1008,Priya Shah,2024-02-15,South,Kerala,Kozhikode,Beauty & Personal Care,Face Wash,2,3060.26,18.6,4982.1,2099.23,2882.87,57.86,EMI,Express,In Transit,Consumer
ORD-1085,C1047,Rasika Shah,2024-02-15,West,Rajasthan,Jaipur,Beauty & Personal Care,Face Serum,3,811.71,38.4,1500.04,697.55,802.49,53.5,Net Banking,Standard,Delivered,Corporate
ORD-1068,C1059,Vijay Agarwal,2024-02-16,East,West Bengal,Durgapur,Home & Kitchen,Bed Sheet Set,3,1701.64,10.5,4568.9,3257.65,1311.25,28.7,EMI,Express,Returned,Small Business
ORD-1049,C1053,Sneha Pillai,2024-02-17,West,Maharashtra,Mumbai,Books & Stationery,Coloring Book,2,1093.7,9.7,1975.22,795.49,1179.73,59.73,Credit Card,Standard,Delivered,Consumer
ORD-1092,C1043,Kavita Mehta,2024-02-18,East,Bihar,Gaya,Beauty & Personal Care,Nail Polish Kit,5,351.61,28.9,1249.97,542.06,707.91,56.63,Cash on Delivery,Economy,Delivered,Corporate
ORD-1167,C1073,Rohan Rao,2024-02-18,West,Maharashtra,Nagpur,Electronics,Tablet,1,40388.78,8.7,36874.96,27909.75,8965.21,24.31,Cash on Delivery,Standard,Delivered,Home Office
ORD-1040,C1079,Smita Kulkarni,2024-02-20,South,Kerala,Thiruvananthapuram,Beauty & Personal Care,Perfume Set,5,3961.62,19.2,16004.94,8086.61,7918.33,49.47,Credit Card,Express,Delivered,Consumer
ORD-1137,C1061,Sneha Saxena,2024-02-21,South,Tamil Nadu,Chennai,Books & Stationery,Art Supplies Kit,2,993.12,5.8,1871.04,903.08,967.96,51.73,EMI,Express,Delivered,Consumer
ORD-1251,C1073,Rohan Rao,2024-02-21,West,Gujarat,Ahmedabad,Sports & Fitness,Skipping Rope,5,26591.53,28.5,95064.72,63359.41,31705.31,33.35,Debit Card,Same Day,Delivered,Home Office
ORD-1310,C1031,Nikhil Chauhan,2024-02-21,North,Haryana,Gurugram,Fashion,Sunglasses,4,4772.24,15.7,16091.99,9137.42,6954.57,43.22,Debit Card,Standard,Delivered,Home Office
ORD-1260,C1075,Mohan Joshi,2024-02-22,West,Rajasthan,Jodhpur,Home & Kitchen,Non-Stick Cookware Set,4,7693.2,15.4,26033.79,16588.56,9445.23,36.28,UPI,Same Day,In Transit,Corporate
ORD-1059,C1062,Kavita Sinha,2024-02-24,West,Rajasthan,Udaipur,Home & Kitchen,Ceiling Fan,3,11529.53,11.0,30783.85,22160.13,8623.72,28.01,Credit Card,Economy,In Transit,Consumer
ORD-1145,C1073,Rohan Rao,2024-02-27,West,Gujarat,Ahmedabad,Books & Stationery,Coloring Book,1,835.71,12.9,727.9,343.83,384.07,52.76,UPI,Express,In Transit,Home Office
ORD-1301,C1049,Rekha Singh,2024-02-28,East,Jharkhand,Ranchi,Books & Stationery,Coloring Book,5,441.36,5.6,2083.22,1202.29,880.93,42.29,Net Banking,Same Day,In Transit,Corporate
ORD-1013,C1004,Rohan Das,2024-02-29,East,West Bengal,Howrah,Home & Kitchen,Bed Sheet Set,4,17052.05,21.9,53270.6,30516.22,22754.38,42.71,Debit Card,Express,In Transit,Consumer
ORD-1014,C1066,Akash Verma,2024-02-29,East,West Bengal,Kolkata,Sports & Fitness,Cricket Bat,3,25553.37,12.8,66847.62,40718.06,26129.56,39.09,Net Banking,Express,Delivered,Corporate
ORD-1212,C1023,Swati Verma,2024-03-02,West,Gujarat,Ahmedabad,Fashion,Casual T-Shirt,4,845.14,23.4,2589.51,1071.43,1518.08,58.62,UPI,Express,Returned,Small Business
ORD-1227,C1043,Kavita Mehta,2024-03-03,East,West Bengal,Kolkata,Electronics,Smartwatch,4,64896.45,1.8,254913.26,196144.3,58768.96,23.05,UPI,Economy,Delivered,Corporate
ORD-1009,C1056,Mohan Mishra,2024-03-06,West,Maharashtra,Mumbai,Electronics,Tablet,5,3653.43,7.4,16915.38,12018.46,4896.92,28.95,UPI,Same Day,Delivered,Home Office
ORD-1093,C1051,Pooja Kumar,2024-03-07,East,Odisha,Cuttack,Electronics,Keyboard,2,73406.32,6.2,137710.26,100695.25,37015.01,26.88,Cash on Delivery,Standard,Delivered,Small Business
ORD-1070,C1004,Rohan Das,2024-03-08,South,Karnataka,Mysuru,Fashion,Jeans,5,1478.07,10.2,6636.53,3751.39,2885.14,43.47,UPI,Same Day,Cancelled,Consumer
ORD-1062,C1026,Rohan Tiwari,2024-03-08,West,Maharashtra,Nagpur,Home & Kitchen,Pressure Cooker,1,22758.77,11.5,20141.51,11911.9,8229.61,40.86,Cash on Delivery,Same Day,In Transit,Small Business
ORD-1279,C1015,Rasika Verma,2024-03-08,West,Goa,Margao,Home & Kitchen,Ceiling Fan,4,20037.5,18.0,65723.0,44384.06,21338.94,32.47,EMI,Standard,Cancelled,Corporate
ORD-1048,C1071,Deepa Chopra,2024-03-08,North,Uttar Pradesh,Agra,Home & Kitchen,Pillow Set,4,15710.14,20.2,50146.77,27319.1,22827.67,45.52,Debit Card,Economy,Returned,Small Business
ORD-1149,C1070,Bhavna Sinha,2024-03-09,South,Kerala,Thiruvananthapuram,Beauty & Personal Care,Face Wash,4,1596.24,30.5,4437.55,2287.33,2150.22,48.46,EMI,Same Day,Delivered,Corporate
ORD-1229,C1050,Ananya Patel,2024-03-11,North,Uttar Pradesh,Agra,Home & Kitchen,LED Bulbs Pack,4,22092.91,14.6,75469.38,39191.15,36278.23,48.07,Net Banking,Express,Returned,Small Business
ORD-1206,C1041,Pankaj Shah,2024-03-12,West,Gujarat,Ahmedabad,Electronics,Tablet,1,47494.25,7.7,43837.19,34747.54,9089.65,20.74,Credit Card,Same Day,Returned,Home Office
ORD-1220,C1008,Priya Shah,2024-03-13,North,Punjab,Chandigarh,Books & Stationery,Notebook Set,1,387.27,19.7,310.98,150.5,160.48,51.6,EMI,Same Day,Delivered,Consumer
ORD-1248,C1080,Vijay Das,2024-03-16,East,West Bengal,Howrah,Books & Stationery,Business Strategy Book,5,899.71,12.8,3922.74,2017.45,1905.29,48.57,UPI,Economy,Delivered,Consumer
ORD-1099,C1066,Akash Verma,2024-03-16,East,West Bengal,Durgapur,Sports & Fitness,Resistance Bands Set,3,3118.85,9.0,8514.46,4945.86,3568.6,41.91,Net Banking,Standard,Delivered,Corporate
ORD-1246,C1008,Priya Shah,2024-03-18,East,Odisha,Cuttack,Electronics,Bluetooth Speaker,4,37632.59,4.5,143756.49,93975.4,49781.09,34.63,EMI,Standard,Delivered,Consumer
ORD-1088,C1041,Pankaj Shah,2024-03-18,West,Goa,Vasco da Gama,Sports & Fitness,Football,5,22576.12,29.7,79355.06,44294.21,35060.85,44.18,Net Banking,Standard,Delivered,Home Office
ORD-1010,C1080,Vijay Das,2024-03-20,North,Haryana,Gurugram,Books & Stationery,Self-Help Book,1,595.15,13.4,515.4,296.33,219.07,42.5,Credit Card,Express,Cancelled,Consumer
ORD-1242,C1056,Mohan Mishra,2024-03-21,North,Haryana,Hisar,Sports & Fitness,Football,1,15210.05,21.3,11970.31,7293.72,4676.59,39.07,UPI,Standard,Delivered,Home Office
ORD-1185,C1071,Deepa Chopra,2024-03-22,North,Delhi,Dwarka,Books & Stationery,Data Science Handbook,2,1401.89,16.1,2352.37,1183.71,1168.66,49.68,Debit Card,Economy,Delivered,Small Business
ORD-1011,C1035,Yash Saxena,2024-03-22,South,Kerala,Kochi,Fashion,Sneakers,4,4070.51,30.9,11250.89,6780.77,4470.12,39.73,EMI,Standard,Delivered,Consumer
ORD-1201,C1039,Lata Mishra,2024-03-22,North,Uttar Pradesh,Kanpur,Beauty & Personal Care,Face Serum,4,928.93,30.7,2574.99,986.17,1588.82,61.7,Debit Card,Standard,Returned,Consumer
ORD-1241,C1049,Rekha Singh,2024-03-23,West,Maharashtra,Mumbai,Home & Kitchen,Air Fryer,3,6675.97,7.1,18605.93,10702.09,7903.84,42.48,EMI,Standard,In Transit,Corporate
ORD-1008,C1034,Sai Kulkarni,2024-03-23,West,Rajasthan,Jaipur,Electronics,DSLR Camera,3,4291.67,6.7,12012.38,7521.72,4490.66,37.38,EMI,Economy,In Transit,Corporate
ORD-1129,C1041,Pankaj Shah,2024-03-24,East,Jharkhand,Dhanbad,Beauty & Personal Care,Hair Dryer,5,3588.56,14.2,15394.92,8972.81,6422.11,41.72,Net Banking,Same Day,In Transit,Home Office
ORD-1267,C1027,Tushar Shah,2024-03-27,East,Odisha,Bhubaneswar,Beauty & Personal Care,Nail Polish Kit,2,1356.64,11.7,2395.83,1109.3,1286.53,53.7,Cash on Delivery,Express,Delivered,Consumer
ORD-1057,C1024,Vidya Reddy,2024-03-28,East,West Bengal,Howrah,Home & Kitchen,Water Purifier,4,3810.13,15.6,12863.0,8033.0,4830.0,37.55,Credit Card,Standard,In Transit,Home Office
ORD-1188,C1080,Vijay Das,2024-03-29,West,Rajasthan,Udaipur,Beauty & Personal Care,Lipstick Pack,4,2409.97,20.4,7673.34,4307.66,3365.68,43.86,EMI,Same Day,In Transit,Consumer
ORD-1141,C1025,Suman Kulkarni,2024-03-30,South,Kerala,Kozhikode,Home & Kitchen,Pressure Cooker,1,18468.12,20.8,14626.75,9140.43,5486.32,37.51,Cash on Delivery,Economy,Cancelled,Small Business
ORD-1232,C1023,Swati Verma,2024-03-31,South,Telangana,Nizamabad,Books & Stationery,Business Strategy Book,2,905.97,19.7,1454.99,695.03,759.96,52.23,Credit Card,Same Day,Cancelled,Small Business
ORD-1155,C1049,Rekha Singh,2024-04-04,West,Maharashtra,Pune,Books & Stationery,Planner,5,546.23,11.2,2425.26,1042.48,1382.78,57.02,Cash on Delivery,Economy,Delivered,Corporate
ORD-1052,C1042,Vivaan Kapoor,2024-04-06,South,Kerala,Kozhikode,Beauty & Personal Care,Nail Polish Kit,3,2274.88,26.3,5029.76,2332.98,2696.78,53.62,EMI,Express,In Transit,Consumer
ORD-1036,C1024,Vidya Reddy,2024-04-08,East,Bihar,Patna,Electronics,Smartwatch,3,10268.74,10.7,27509.95,20699.53,6810.42,24.76,Credit Card,Economy,Delivered,Home Office
ORD-1019,C1074,Rohan Chopra,2024-04-09,South,Tamil Nadu,Chennai,Electronics,Smartwatch,4,49212.9,15.4,166536.45,115090.55,51445.9,30.89,EMI,Economy,Delivered,Small Business
ORD-1187,C1042,Vivaan Kapoor,2024-04-10,South,Tamil Nadu,Coimbatore,Books & Stationery,Data Science Handbook,5,242.45,18.1,992.83,434.26,558.57,56.26,Net Banking,Standard,Delivered,Consumer
ORD-1178,C1073,Rohan Rao,2024-04-12,East,Jharkhand,Dhanbad,Fashion,Sneakers,4,1617.41,28.6,4619.32,2269.26,2350.06,50.87,Cash on Delivery,Express,Returned,Home Office
ORD-1268,C1069,Divya Mehta,2024-04-12,North,Uttar Pradesh,Agra,Beauty & Personal Care,Sunscreen SPF50,4,1801.75,24.3,5455.7,1915.86,3539.84,64.88,EMI,Same Day,Delivered,Small Business
ORD-1234,C1079,Smita Kulkarni,2024-04-13,North,Delhi,New Delhi,Fashion,Sunglasses,2,393.66,19.3,635.37,306.84,328.53,51.71,Credit Card,Same Day,Returned,Consumer
ORD-1207,C1039,Lata Mishra,2024-04-15,North,Uttar Pradesh,Agra,Sports & Fitness,Skipping Rope,5,10115.24,28.5,36161.98,18255.59,17906.39,49.52,Cash on Delivery,Express,Returned,Consumer
ORD-1308,C1045,Akash Saxena,2024-04-18,North,Delhi,Rohini,Sports & Fitness,Cricket Bat,5,19253.89,7.1,89434.32,48098.63,41335.69,46.22,Net Banking,Express,Delivered,Small Business
ORD-1081,C1035,Yash Saxena,2024-04-20,South,Karnataka,Hubli,Electronics,Bluetooth Speaker,4,53225.54,9.7,192250.65,132347.05,59903.6,31.16,Cash on Delivery,Standard,Delivered,Consumer
ORD-1069,C1076,Meena Iyer,2024-04-20,North,Delhi,Dwarka,Fashion,Jeans,5,1264.47,29.9,4431.97,2386.85,2045.12,46.14,Credit Card,Same Day,Cancelled,Consumer
ORD-1193,C1070,Bhavna Sinha,2024-04-21,North,Delhi,Dwarka,Sports & Fitness,Protein Shaker,5,28826.86,6.0,135486.24,85277.27,50208.97,37.06,Net Banking,Standard,Returned,Corporate
ORD-1067,C1048,Pankaj Chopra,2024-04-21,South,Kerala,Kozhikode,Electronics,LED Monitor,5,33122.78,19.0,134147.26,81366.12,52781.14,39.35,Net Banking,Economy,Delivered,Small Business
ORD-1283,C1065,Pooja Rao,2024-04-24,South,Kerala,Thiruvananthapuram,Fashion,Casual T-Shirt,4,1806.98,14.9,6150.96,2888.12,3262.84,53.05,Cash on Delivery,Economy,Delivered,Consumer
ORD-1295,C1072,Sunita Jain,2024-04-24,North,Haryana,Gurugram,Sports & Fitness,Yoga Mat,3,28528.11,7.6,79079.92,51895.91,27184.01,34.38,EMI,Economy,Delivered,Corporate
ORD-1216,C1054,Mohan Singh,2024-04-24,North,Punjab,Ludhiana,Beauty & Personal Care,Hair Dryer,2,3734.97,35.7,4803.17,2344.99,2458.18,51.18,Debit Card,Express,Delivered,Consumer
ORD-1100,C1048,Pankaj Chopra,2024-04-24,West,Rajasthan,Jaipur,Beauty & Personal Care,Face Serum,4,2082.73,17.1,6906.33,4134.35,2771.98,40.14,UPI,Same Day,Delivered,Small Business
ORD-1231,C1075,Mohan Joshi,2024-04-29,North,Haryana,Hisar,Fashion,Formal Shirt,3,575.38,34.7,1127.17,600.06,527.11,46.76,Credit Card,Standard,Delivered,Corporate
ORD-1022,C1037,Sai Malhotra,2024-04-30,West,Goa,Margao,Fashion,Sports Shoes,5,2577.61,12.2,11315.71,5770.65,5545.06,49.0,Debit Card,Same Day,Delivered,Consumer
ORD-1194,C1016,Rasika Iyer,2024-05-01,South,Telangana,Hyderabad,Beauty & Personal Care,Perfume Set,3,3469.47,12.6,9096.95,5151.81,3945.14,43.37,Credit Card,Same Day,Cancelled,Small Business
ORD-1116,C1018,Suman Tiwari,2024-05-01,East,Bihar,Patna,Books & Stationery,Fiction Novel,3,812.26,6.8,2271.08,999.72,1271.36,55.98,Net Banking,Standard,Delivered,Home Office
ORD-1123,C1041,Pankaj Shah,2024-05-03,South,Telangana,Nizamabad,Home & Kitchen,Water Purifier,4,3443.0,12.4,12064.27,7522.84,4541.43,37.64,Net Banking,Standard,Delivered,Home Office
ORD-1125,C1059,Vijay Agarwal,2024-05-03,South,Kerala,Kozhikode,Beauty & Personal Care,Face Wash,3,2064.88,12.7,5407.92,2424.43,2983.49,55.17,Credit Card,Same Day,Delivered,Small Business
ORD-1174,C1072,Sunita Jain,2024-05-04,East,West Bengal,Durgapur,Sports & Fitness,Protein Shaker,4,629.45,15.3,2132.58,1365.39,767.19,35.97,Cash on Delivery,Express,Returned,Corporate
ORD-1158,C1062,Kavita Sinha,2024-05-04,South,Kerala,Kochi,Home & Kitchen,Vacuum Cleaner,1,5452.83,8.8,4972.98,3297.71,1675.27,33.69,EMI,Express,Delivered,Consumer
ORD-1050,C1061,Sneha Saxena,2024-05-04,North,Uttar Pradesh,Kanpur,Books & Stationery,Notebook Set,5,1087.58,11.2,4828.86,2397.53,2431.33,50.35,Net Banking,Express,Delivered,Consumer
ORD-1039,C1011,Manish Jain,2024-05-07,North,Punjab,Ludhiana,Electronics,Keyboard,1,12816.78,16.2,10740.46,8483.09,2257.37,21.02,UPI,Economy,In Transit,Consumer
ORD-1113,C1036,Rajesh Nair,2024-05-07,South,Kerala,Thiruvananthapuram,Home & Kitchen,LED Bulbs Pack,1,14433.26,15.6,12181.67,7157.55,5024.12,41.24,UPI,Standard,Returned,Consumer
ORD-1038,C1007,Arjun Patel,2024-05-09,South,Kerala,Kochi,Electronics,Keyboard,3,37976.24,8.8,103902.99,66172.98,37730.01,36.31,Net Banking,Standard,Cancelled,Corporate
ORD-1161,C1044,Vivaan Bose,2024-05-11,South,Tamil Nadu,Coimbatore,Fashion,Saree,5,4216.8,20.0,16867.2,9507.23,7359.97,43.63,Net Banking,Economy,Delivered,Home Office
ORD-1239,C1045,Akash Saxena,2024-05-11,South,Karnataka,Hubli,Books & Stationery,Fountain Pen,4,115.95,8.1,426.23,229.58,196.65,46.14,UPI,Standard,Delivered,Small Business
ORD-1276,C1013,Suman Mishra,2024-05-11,North,Delhi,Rohini,Books & Stationery,Sticky Notes Pack,2,1429.22,16.7,2381.08,988.17,1392.91,58.5,EMI,Express,Delivered,Consumer
ORD-1262,C1038,Rekha Reddy,2024-05-12,South,Tamil Nadu,Chennai,Sports & Fitness,Cricket Bat,3,23890.3,23.0,55186.59,34103.77,21082.82,38.2,Net Banking,Economy,Delivered,Corporate
ORD-1142,C1001,Kavita Gupta,2024-05-13,West,Rajasthan,Jaipur,Beauty & Personal Care,Moisturiser SPF,2,3929.49,24.3,5949.25,3474.1,2475.15,41.6,Net Banking,Express,Delivered,Home Office
ORD-1004,C1041,Pankaj Shah,2024-05-13,North,Uttar Pradesh,Agra,Sports & Fitness,Yoga Mat,5,3053.02,21.4,11998.37,7219.91,4778.46,39.83,Credit Card,Same Day,Delivered,Home Office
ORD-1261,C1036,Rajesh Nair,2024-05-13,East,Bihar,Muzaffarpur,Electronics,LED Monitor,1,27433.67,5.5,25924.82,17240.72,8684.1,33.5,EMI,Same Day,Delivered,Consumer
ORD-1213,C1017,Sai Agarwal,2024-05-17,North,Uttar Pradesh,Kanpur,Home & Kitchen,Bed Sheet Set,5,19618.08,19.4,79060.86,42434.48,36626.38,46.33,EMI,Standard,Cancelled,Corporate
ORD-1140,C1060,Divya Gupta,2024-05-19,North,Haryana,Faridabad,Beauty & Personal Care,Shampoo Combo,5,2051.56,38.2,6339.32,3567.55,2771.77,43.72,Credit Card,Standard,Delivered,Consumer
ORD-1108,C1043,Kavita Mehta,2024-05-19,West,Rajasthan,Jaipur,Books & Stationery,Self-Help Book,3,599.76,16.7,1498.8,859.05,639.75,42.68,UPI,Same Day,Delivered,Corporate
ORD-1228,C1024,Vidya Reddy,2024-05-20,South,Kerala,Kozhikode,Beauty & Personal Care,Face Wash,1,1623.51,22.8,1253.35,549.58,703.77,56.15,Debit Card,Economy,Delivered,Home Office
ORD-1196,C1008,Priya Shah,2024-05-21,East,Bihar,Muzaffarpur,Home & Kitchen,Bed Sheet Set,1,3562.6,20.0,2850.08,1683.12,1166.96,40.94,EMI,Express,Returned,Consumer
ORD-1045,C1057,Smita Mehta,2024-05-22,South,Karnataka,Hubli,Home & Kitchen,Pillow Set,1,19125.1,8.5,17499.47,10747.69,6751.78,38.58,Credit Card,Economy,Returned,Small Business
ORD-1127,C1071,Deepa Chopra,2024-05-23,West,Maharashtra,Nagpur,Sports & Fitness,Treadmill,3,19452.16,6.8,54388.24,32130.72,22257.52,40.92,Cash on Delivery,Standard,Delivered,Small Business
ORD-1114,C1079,Smita Kulkarni,2024-05-26,South,Kerala,Kozhikode,Beauty & Personal Care,Shampoo Combo,1,1157.84,17.8,951.74,439.29,512.45,53.84,EMI,Economy,Delivered,Consumer
ORD-1293,C1069,Divya Mehta,2024-05-26,North,Haryana,Hisar,Beauty & Personal Care,Lipstick Pack,5,3779.29,31.3,12981.86,6731.88,6249.98,48.14,Net Banking,Standard,In Transit,Small Business
ORD-1041,C1061,Sneha Saxena,2024-05-29,North,Uttar Pradesh,Lucknow,Fashion,Handbag,1,1035.7,17.3,856.52,490.22,366.3,42.77,UPI,Express,Delivered,Consumer
ORD-1103,C1019,Sneha Malhotra,2024-05-29,West,Maharashtra,Mumbai,Beauty & Personal Care,Lipstick Pack,5,213.28,25.5,794.47,326.12,468.35,58.95,Net Banking,Standard,In Transit,Small Business
ORD-1051,C1037,Sai Malhotra,2024-06-01,South,Tamil Nadu,Chennai,Home & Kitchen,Ceiling Fan,3,23369.36,15.2,59451.65,40458.09,18993.56,31.95,Cash on Delivery,Economy,Cancelled,Consumer
ORD-1175,C1054,Mohan Singh,2024-06-02,West,Gujarat,Ahmedabad,Home & Kitchen,Vacuum Cleaner,3,12429.47,6.3,34939.24,20810.82,14128.42,40.44,Net Banking,Standard,Delivered,Consumer
ORD-1204,C1048,Pankaj Chopra,2024-06-02,West,Gujarat,Surat,Electronics,Smartwatch,4,7875.02,16.1,26428.57,16402.64,10025.93,37.94,Credit Card,Economy,Cancelled,Small Business
ORD-1273,C1002,Nilesh Singh,2024-06-03,West,Goa,Panaji,Sports & Fitness,Cycling Gloves,4,24625.01,10.1,88551.54,55205.97,33345.57,37.66,Net Banking,Standard,Returned,Small Business
ORD-1094,C1047,Rasika Shah,2024-06-07,West,Rajasthan,Jaipur,Books & Stationery,Art Supplies Kit,1,1004.43,11.4,889.92,420.37,469.55,52.76,Credit Card,Express,Delivered,Corporate
ORD-1107,C1041,Pankaj Shah,2024-06-07,South,Karnataka,Hubli,Beauty & Personal Care,Face Serum,3,926.13,33.7,1842.07,1052.65,789.42,42.86,Cash on Delivery,Economy,Cancelled,Home Office
ORD-1253,C1039,Lata Mishra,2024-06-08,West,Rajasthan,Udaipur,Fashion,Formal Shirt,4,4627.92,31.9,12606.45,5106.35,7500.1,59.49,Debit Card,Economy,Cancelled,Consumer
